USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  21464 13324 ?        Ss   15:51   0:02 /sbin/init splash noautomount splash
root           2  0.0  0.0      0     0 ?        S    15:51   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    15:51   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-kvfree_rcu_reclaim]
root           5  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-rcu_gp]
root           6  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-sync_wq]
root           7  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-netns]
root          11  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    15:51   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    15:51   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    15:51   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    15:51   0:10 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    15:51   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    15:51   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/2]
root          25  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/2]
root          26  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/2]
root          27  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/2]
root          29  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/2:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/4]
root          31  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/4]
root          32  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/4]
root          33  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/4]
root          35  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/4:0H-events_highpri]
root          36  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/6]
root          37  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/6]
root          38  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/6]
root          39  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/6]
root          41  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/6:0H-events_highpri]
root          42  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/1]
root          43  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/1]
root          44  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/1]
root          45  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/1]
root          47  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/1:0H-events_highpri]
root          48  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/3]
root          49  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/3]
root          50  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/3]
root          51  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/3]
root          53  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/3:0H-events_highpri]
root          54  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/5]
root          55  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/5]
root          56  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/5]
root          57  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/5]
root          59  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/5:0H-events_highpri]
root          60  0.0  0.0      0     0 ?        S    15:51   0:00 [cpuhp/7]
root          61  0.0  0.0      0     0 ?        S    15:51   0:00 [idle_inject/7]
root          62  0.0  0.0      0     0 ?        S    15:51   0:00 [migration/7]
root          63  0.0  0.0      0     0 ?        S    15:51   0:00 [ksoftirqd/7]
root          65  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/7:0H-events_highpri]
root          74  0.0  0.0      0     0 ?        S    15:51   0:00 [kdevtmpfs]
root          75  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-inet_frag_wq]
root          76  0.0  0.0      0     0 ?        S    15:51   0:00 [kauditd]
root          77  0.0  0.0      0     0 ?        S    15:51   0:00 [khungtaskd]
root          78  0.0  0.0      0     0 ?        S    15:51   0:00 [oom_reaper]
root          79  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-writeback]
root          80  0.0  0.0      0     0 ?        S    15:51   0:07 [kcompactd0]
root          81  0.0  0.0      0     0 ?        SN   15:51   0:00 [ksmd]
root          82  0.0  0.0      0     0 ?        SN   15:51   0:01 [khugepaged]
root          83  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-kintegrityd]
root          84  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-kblockd]
root          85  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-blkcg_punt_bio]
root          86  0.0  0.0      0     0 ?        S    15:51   0:00 [irq/9-acpi]
